artist;title;id;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;uri;track_href;analysis_url;duration_ms;time_signature
don williams;some broken hearts never mend;6J4Y8Wvb631w5UVxa1xX8T;0.622;0.466;9;-14.558;1;0.0257;0.868;0.888;0.108;0.71;97.583;audio_features;spotify:track:6J4Y8Wvb631w5UVxa1xX8T;https://api.spotify.com/v1/tracks/6J4Y8Wvb631w5UVxa1xX8T;https://api.spotify.com/v1/audio-analysis/6J4Y8Wvb631w5UVxa1xX8T;170800;4
primus;jerry was a race car driver;19C0LKY3DCcQtuviPJNy5d;0.508;0.887;1;-12.377;0;0.0661;0.0099;0.392;0.345;0.724;122.655;audio_features;spotify:track:19C0LKY3DCcQtuviPJNy5d;https://api.spotify.com/v1/tracks/19C0LKY3DCcQtuviPJNy5d;https://api.spotify.com/v1/audio-analysis/19C0LKY3DCcQtuviPJNy5d;190840;4
yellowjackets;claire's song;5YKltAnXR4txAAS1A7tKob;0.459;0.543;5;-15.01;1;0.0786;0.186;7.07e-05;0.965;0.502;139.556;audio_features;spotify:track:5YKltAnXR4txAAS1A7tKob;https://api.spotify.com/v1/tracks/5YKltAnXR4txAAS1A7tKob;https://api.spotify.com/v1/audio-analysis/5YKltAnXR4txAAS1A7tKob;461040;4
love;hummingbirds;5eTdFMC5VJGvIvFmpMouX0;0.646;0.19;7;-20.456;1;0.0444;0.672;0.725;0.206;0.484;110.695;audio_features;spotify:track:5eTdFMC5VJGvIvFmpMouX0;https://api.spotify.com/v1/tracks/5eTdFMC5VJGvIvFmpMouX0;https://api.spotify.com/v1/audio-analysis/5eTdFMC5VJGvIvFmpMouX0;161000;4
dolly parton;once in a very blue moon;6FSZ9gzSBpaysNjdnc2lOq;0.499;0.224;7;-13.899;1;0.0286;0.644;2.34e-05;0.136;0.101;68.966;audio_features;spotify:track:6FSZ9gzSBpaysNjdnc2lOq;https://api.spotify.com/v1/tracks/6FSZ9gzSBpaysNjdnc2lOq;https://api.spotify.com/v1/audio-analysis/6FSZ9gzSBpaysNjdnc2lOq;225093;4
oingo boingo;you really got me;1Kifs1uq9kjgXBoXThTU8G;0.688;0.844;4;-12.952;0;0.068;0.00604;0.0472;0.131;0.847;158.901;audio_features;spotify:track:1Kifs1uq9kjgXBoXThTU8G;https://api.spotify.com/v1/tracks/1Kifs1uq9kjgXBoXThTU8G;https://api.spotify.com/v1/audio-analysis/1Kifs1uq9kjgXBoXThTU8G;277267;4
oscar peterson;how high the moon;41bMgBeBrWQCV65lQe6X6q;0.552;0.107;9;-21.512;0;0.0475;0.995;0.951;0.123;0.163;149.433;audio_features;spotify:track:41bMgBeBrWQCV65lQe6X6q;https://api.spotify.com/v1/tracks/41bMgBeBrWQCV65lQe6X6q;https://api.spotify.com/v1/audio-analysis/41bMgBeBrWQCV65lQe6X6q;177387;4
muddy waters;blow wind blow;06rRqC9plPGW7eApajEF9T;0.623;0.705;0;-12.13;1;0.0385;0.991;0.833;0.384;0.826;107.651;audio_features;spotify:track:06rRqC9plPGW7eApajEF9T;https://api.spotify.com/v1/tracks/06rRqC9plPGW7eApajEF9T;https://api.spotify.com/v1/audio-analysis/06rRqC9plPGW7eApajEF9T;191800;4
gene clark;white light;2RHeXAFYmMPQ7dcY1T2fmu;0.434;0.505;4;-8.945;1;0.0295;0.428;2.62e-05;0.0683;0.721;81.129;audio_features;spotify:track:2RHeXAFYmMPQ7dcY1T2fmu;https://api.spotify.com/v1/tracks/2RHeXAFYmMPQ7dcY1T2fmu;https://api.spotify.com/v1/audio-analysis/2RHeXAFYmMPQ7dcY1T2fmu;217933;3
dead moon;on my own;7JdgDiAQxupg5nucbDIhox;0.482;0.862;9;-6.037;0;0.0353;0.00508;0.818;0.0962;0.909;149.382;audio_features;spotify:track:7JdgDiAQxupg5nucbDIhox;https://api.spotify.com/v1/tracks/7JdgDiAQxupg5nucbDIhox;https://api.spotify.com/v1/audio-analysis/7JdgDiAQxupg5nucbDIhox;159884;4
the dead weather;the difference between us;1rKVoEcVjKoqP8txvxjjFR;0.332;0.98;0;-2.043;1;0.128;0.00849;0.0;0.81;0.201;117.236;audio_features;spotify:track:1rKVoEcVjKoqP8txvxjjFR;https://api.spotify.com/v1/tracks/1rKVoEcVjKoqP8txvxjjFR;https://api.spotify.com/v1/audio-analysis/1rKVoEcVjKoqP8txvxjjFR;217320;4
remy ma;get at me;6GBcX04loKyCkSDQH4HqyO;0.701;0.927;6;-5.685;0;0.316;0.00654;0.0;0.161;0.611;97.952;audio_features;spotify:track:6GBcX04loKyCkSDQH4HqyO;https://api.spotify.com/v1/tracks/6GBcX04loKyCkSDQH4HqyO;https://api.spotify.com/v1/audio-analysis/6GBcX04loKyCkSDQH4HqyO;138480;4
zendaya;replay;7d1CFwrBmH34gmS0Hkbfbt;0.688;0.723;6;-6.682;0;0.121;0.0416;0.0002;0.302;0.618;140.023;audio_features;spotify:track:7d1CFwrBmH34gmS0Hkbfbt;https://api.spotify.com/v1/tracks/7d1CFwrBmH34gmS0Hkbfbt;https://api.spotify.com/v1/audio-analysis/7d1CFwrBmH34gmS0Hkbfbt;209187;4
the libertines;don’t look back into the sun;4KspXoCVJXGY1VrvEe1Hdm;0.211;0.849;0;-3.994;0;0.116;0.00605;0.000436;0.263;0.59;175.616;audio_features;spotify:track:4KspXoCVJXGY1VrvEe1Hdm;https://api.spotify.com/v1/tracks/4KspXoCVJXGY1VrvEe1Hdm;https://api.spotify.com/v1/audio-analysis/4KspXoCVJXGY1VrvEe1Hdm;180267;4
turnpike troubadours;long hot summer day;0kOG4bwpKgRlcJw1NA6csR;0.476;0.652;9;-5.783;1;0.0277;0.0981;0.0;0.0923;0.557;145.356;audio_features;spotify:track:0kOG4bwpKgRlcJw1NA6csR;https://api.spotify.com/v1/tracks/0kOG4bwpKgRlcJw1NA6csR;https://api.spotify.com/v1/audio-analysis/0kOG4bwpKgRlcJw1NA6csR;252480;4
mims;this is why i'm hot;0AA6zq5ArZ1sSH7VIMi4NK;0.621;0.6;8;-6.349;1;0.576;0.277;0.0;0.495;0.485;80.021;audio_features;spotify:track:0AA6zq5ArZ1sSH7VIMi4NK;https://api.spotify.com/v1/tracks/0AA6zq5ArZ1sSH7VIMi4NK;https://api.spotify.com/v1/audio-analysis/0AA6zq5ArZ1sSH7VIMi4NK;253707;4
the animals;bury my body;5NBgkmxyxXPE1BA0UhO8ri;0.423;0.736;5;-5.659;1;0.0305;0.123;0.0;0.373;0.808;128.814;audio_features;spotify:track:5NBgkmxyxXPE1BA0UhO8ri;https://api.spotify.com/v1/tracks/5NBgkmxyxXPE1BA0UhO8ri;https://api.spotify.com/v1/audio-analysis/5NBgkmxyxXPE1BA0UhO8ri;171987;4
tony yayo;pimpin';27EF60TsQ7BkTPrq2uMRxV;0.823;0.725;10;-3.426;0;0.22;0.0506;0.0;0.19;0.808;95.047;audio_features;spotify:track:27EF60TsQ7BkTPrq2uMRxV;https://api.spotify.com/v1/tracks/27EF60TsQ7BkTPrq2uMRxV;https://api.spotify.com/v1/audio-analysis/27EF60TsQ7BkTPrq2uMRxV;186240;4
electronic;get the message;5fUh73ihdzB2SaIftDD3EG;0.705;0.792;7;-11.656;1;0.0283;0.0276;0.799;0.171;0.948;105.989;audio_features;spotify:track:5fUh73ihdzB2SaIftDD3EG;https://api.spotify.com/v1/tracks/5fUh73ihdzB2SaIftDD3EG;https://api.spotify.com/v1/audio-analysis/5fUh73ihdzB2SaIftDD3EG;320840;4
